horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:35:01.125590069,0.25,89700,2088399,1299977,626349,83684950,17858123,321101,3.778,8498548,3824164,6.61
12:35:03.431368815,0.25,120293,3292790,2456500,1170633,405595008,84922050,781800,2.334,33494849,16169721,10.92
12:35:05.747007179,0.25,101879,2356151,2483453,1028633,35351159,7934477,113449,3.488,3252449,1743268,7.99
12:35:08.093525682,0.25,106823,2531010,1242832,576109,38123089,8241838,130745,3.803,3438309,1771453,12.89
12:35:10.437524003,0.25,102866,2358752,1513218,726985,1804114877,239024920,5257586,4.875,107838378,45165315,1.22
12:35:13.042446685,0.25,101401,2311673,1231202,599654,32872265,7282416,104762,3.506,2988317,1599219,5.37
12:35:15.360002799,0.25,86736,2152218,1240862,597681,103270207,22106925,394244,3.841,10263389,4483050,15.32
12:35:17.669440832,0.25,98004,2291943,12892713,3589633,58235460,12714950,158103,3.104,5093784,2579667,10.20
12:35:19.999032074,0.25,231684,4385809,1185305,573636,35375493,8136146,115763,3.486,3320787,1798013,15.31
12:35:22.283399534,0.25,91799,2168150,1245751,592341,43714207,8929320,135487,3.691,3670887,1960216,10.57
12:35:24.614220116,0.25,102677,2340826,1337706,629104,38161590,8354649,127366,3.705,3438092,1825001,11.83
12:35:26.923028638,0.25,121042,2761302,1231100,597940,34089079,7560615,108251,3.493,3099210,1686934,2.26
12:35:29.246367576,0.25,88021,2143962,1857681,778612,53589603,14036180,180789,2.962,6103105,3069131,14.80
12:35:31.700592788,0.25,338640,7118400,3018735,1429183,61814321,14009039,236787,3.934,6019713,2974995,13.82
12:35:34.009474520,0.25,98360,2211965,1806782,737544,34363094,7833220,113474,3.514,3229030,1725184,5.91
12:35:36.333888800,0.25,99374,2244226,1194139,565063,44796044,10012921,159910,3.824,4181634,2180625,5.02
12:35:38.639144577,0.25,97231,2260123,1333847,657349,34801520,7331123,107744,3.580,3009783,1595716,11.40
12:35:40.949686493,0.25,98313,2352901,1348478,657448,33032621,7540929,108284,3.471,3119405,1675528,7.80
12:35:43.275752716,0.25,85910,1995646,12904962,3427067,37235768,8290841,117672,3.454,3406876,1850719,13.04
12:35:45.615916945,0.25,86255,2067300,2365300,1045626,71050537,13687102,274659,4.250,6462808,2890065,12.33
12:35:47.959813603,0.25,89610,2160673,2161075,1120414,33830219,7489907,109421,3.519,3109783,1660021,13.67
12:35:50.319814331,0.25,227885,4459756,1314864,644652,268852385,51168199,1090843,4.736,23032030,11047016,2.52
12:35:52.787329455,0.25,92342,2217335,1438628,703059,36543660,8406447,125416,3.640,3445051,1860105,1.07
12:35:55.143232950,0.25,109397,2387196,1157140,546653,36299552,8015639,113470,3.456,3283281,1781643,8.37
12:35:57.489582690,0.25,104203,2446004,1095656,524112,39112758,8253079,126927,3.704,3427058,1804718,5.12
12:35:59.812442388,0.25,91504,2194592,1343249,673593,61234860,11901658,246680,4.292,5747941,2501300,4.37
12:36:02.112121236,0.25,93991,2256423,2030635,1051533,45664224,8928025,133648,3.664,3647470,1942480,10.07
12:36:04.429948262,0.25,231327,4285500,1375774,591326,35472675,8367522,128018,3.676,3482534,1878502,12.35
12:36:06.766994699,0.25,103594,2449208,1181933,584406,39481587,8594339,132778,3.730,3559488,1884570,10.24
12:36:09.102979653,0.25,106077,2454559,8641313,2321506,46638851,10426222,140897,3.333,4227050,2215978,6.98
12:36:11.423233528,0.25,4632915,79485835,32075059,12976114,338087495,61258846,1002920,3.775,26565982,11711976,4.18
12:36:13.859638693,0.25,92688,2262943,7476801,2198834,60441321,13336859,270248,4.292,6297071,2773715,11.50
12:36:16.204006938,0.25,110339,2675503,2177115,1110807,37398065,9002795,132728,3.565,3723599,2016168,11.95
12:36:18.518871934,0.25,227420,4323528,1305491,628676,33398919,7609730,107729,3.455,3117705,1698953,10.91
12:36:23.565164944,0.25,101639,2252189,1124249,522390,147648965,41355933,432859,2.592,16702994,8231198,6.42
12:36:25.903477844,0.25,103256,2416063,1157203,550397,64262454,13305220,269817,4.277,6308226,2777240,11.67
12:36:28.219260830,0.25,182964,6839936,1763282,890228,32223557,7260750,103716,3.501,2962876,1582784,13.69
12:36:30.528755696,0.25,93806,2193992,1365650,660011,37067263,8386644,113166,3.324,3404347,1900241,1.43
12:36:33.148750355,0.25,131967,3033850,1147278,566606,39401809,8863509,136831,3.739,3659333,1913266,12.73
12:36:35.478204601,0.25,104512,2435839,1232680,598325,61276420,14143057,221374,3.612,6128739,2877949,6.16
12:36:37.809529004,0.25,108486,2532852,3636426,1168511,181387973,31697982,303165,2.488,12187119,5978137,5.60
12:36:40.120631791,0.25,90799,2151998,1264338,623678,66582979,12744822,260701,4.290,6077379,2666180,12.67
12:36:42.424256055,0.25,111506,2768799,2366122,1118382,39302556,8664977,129769,3.631,3574125,1903244,6.45
12:36:44.743290404,0.25,245113,4725227,1359896,625230,37778815,8716401,127425,3.576,3563388,1948394,9.72
