horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
16:02:21.862468657,104881,2380397,20165986,7054654,118774091,25991356,518676,4.353,11914995,5311763,27.91,13.02,0.43,9.58
16:02:24.209283366,114129,2569461,2751899,1164280,39461626,8849395,136617,3.764,3629520,1975585,40.16,5.30,0.77,8.13
16:02:26.545009486,118582,2561471,1271547,594649,38121577,8848876,133714,3.686,3627947,1941154,13.87,5.02,0.09,5.63
16:02:28.854773481,115116,2530158,1298455,618381,35054800,8753209,130592,3.643,3584522,1923043,36.30,10.67,0.55,12.05
16:02:31.208285754,93815,2132949,1472911,722918,35619474,8043407,118854,3.619,3283757,1757469,32.98,8.67,0.36,14.83
16:02:33.543134707,102033,2276424,1408967,662463,132965117,24453424,271211,2.824,9605157,4714596,32.20,8.02,0.91,7.13
16:02:36.036586970,111798,2463622,1255646,588014,69409921,14206809,297718,4.489,6631840,2894831,29.06,13.13,,10.06
16:02:38.428829202,2474403,41548619,25229196,13009527,878103654,145475451,3673069,5.788,63458902,31592224,70.01,2.90,0.18,2.20
16:02:40.807354884,260157,4841836,1129365,539403,39839227,8160002,125212,3.737,3350154,1764756,27.53,13.59,0.43,14.25
16:02:43.142677578,112172,2539854,4343385,1383927,93285692,19057676,217754,2.901,7505949,3634899,34.75,14.41,0.61,12.37
16:02:45.490557562,114353,2527854,1384186,670418,35266939,7721549,114567,3.609,3174845,1704810,51.67,5.64,0.29,4.24
16:02:47.796442462,100794,2233767,1320754,627154,36952715,8104518,123107,3.707,3320763,1728156,29.98,13.10,0.75,12.94
16:02:50.143536067,97155,2298194,1410630,666851,64982630,12745527,267222,4.356,6134778,2669538,27.52,12.78,0.31,9.76
16:02:52.473909151,96338,2277657,1330386,657716,37999881,8516064,132994,3.780,3518453,1872209,38.90,7.76,0.33,7.35
16:02:54.788391984,109307,2308006,1171977,561987,40864057,9038116,137502,3.690,3726836,2018152,36.19,10.65,0.70,9.83
16:02:57.145559779,104297,2284147,1171606,561510,39491495,8714604,140402,3.885,3614348,1890312,33.20,9.61,1.05,13.72
16:02:59.506729478,2300184,39549407,31622396,14101975,849466476,145000210,3577640,5.618,63682572,31395203,5.68,0.48,0.07,0.52
16:03:01.991618963,107552,2462625,1327741,630626,34272690,7543606,110320,3.562,3097314,1667855,29.80,13.77,0.21,14.60
16:03:04.323765414,98392,2375014,1316550,622407,77065339,15530169,300732,4.119,7301168,3210719,26.20,12.04,0.41,16.27
16:03:06.676111220,89751,2056069,2477610,1301181,33784667,7781053,115471,3.605,3202907,1738350,33.68,8.90,0.40,11.76
16:03:09.006028901,235331,4494875,1329801,637509,78773845,22122478,224271,2.462,9107940,4557920,31.14,9.21,0.68,11.11
16:03:11.290845261,108942,2434795,1139510,544310,39800670,8965432,143779,3.894,3692642,1954729,31.54,11.69,0.36,11.83
16:03:13.629670141,108525,2513363,1355429,664089,263039090,47600005,482834,2.625,18393940,8903708,32.11,11.76,0.43,13.97
16:03:15.941565962,99274,2268284,1388154,656355,36565066,8080544,117932,3.557,3315492,1793462,56.23,5.36,0.45,6.39
16:03:18.271314943,99002,2239034,1392872,660782,38577734,8606550,126883,3.622,3502970,1903531,31.22,12.58,0.61,9.07
16:03:20.631992319,3351930,63419527,28139292,13498927,877999007,150462530,3748085,5.637,66490616,32489945,10.58,0.50,0.05,0.35
16:03:23.164583961,257185,4660316,1349015,649935,33394976,7676446,113744,3.594,3165096,1693725,38.27,8.10,0.65,9.93
16:03:25.511276872,95768,2134219,1320382,631556,250647092,84087621,616837,2.003,30796376,19778498,31.31,12.85,0.35,14.29
16:03:27.829783678,94089,2187135,1327627,660615,35577671,7953225,118747,3.620,3280668,1743265,28.06,8.17,1.56,13.92
16:03:30.169797880,98245,2184614,1515901,690540,34988260,7889328,118599,3.642,3256469,1756965,34.66,10.88,0.22,10.37
16:03:32.514101778,94985,2176812,1288514,620583,42890914,8753402,139297,3.827,3639497,1923676,28.32,14.59,0.75,13.44
16:03:34.835861284,466435,17188399,4409851,1268405,38699173,8882846,139885,3.808,3673255,1930409,35.46,11.18,0.46,13.78
16:03:37.167574661,111496,2397906,1780452,900509,38887121,8893561,138538,3.802,3643423,1968947,28.32,10.58,0.29,14.32
16:03:39.504206667,254662,4675998,7610062,2293272,41158406,9109160,132676,3.543,3745040,2033271,36.47,8.24,0.71,9.85
16:03:41.884218960,2530718,39694738,23823905,12420413,805961989,143880901,3684582,5.845,63039766,30917853,29.75,10.65,0.68,8.47
16:03:44.256288067,100373,2147587,1292068,624270,37362068,8358751,120466,3.550,3393519,1853410,32.94,9.24,0.50,7.85
16:03:46.600438070,103330,2405670,1559700,695682,49557040,10391119,141203,3.345,4221571,2213277,28.23,11.57,0.23,12.34
16:03:49.018733239,93776,2114558,1436293,693872,123092391,31389658,353240,2.685,13158353,6281340,12.52,4.66,0.17,5.17
16:03:51.330295173,114553,2496378,1165356,547153,40514781,9075919,141180,3.791,3723908,2007001,25.87,15.20,1.57,15.67
16:03:53.674566061,219536,4552404,1156738,555964,41849969,9598892,145688,3.712,3924923,2168976,40.16,10.23,0.19,8.79
16:03:55.995542483,111084,2456624,1321244,624044,34002232,7716802,115193,3.607,3193933,1700366,31.40,9.48,0.73,8.76
16:03:58.335205047,106921,2302691,1320931,634778,35547021,8087294,120691,3.651,3305589,1797928,56.16,5.28,0.28,4.00
16:04:00.682460571,426399,15549005,1259254,609753,37838378,8368071,123823,3.601,3438505,1868805,35.36,5.20,0.34,10.61
16:04:03.026775431,2438905,40743118,24811639,12652849,856511729,148185758,3748309,5.668,66130587,31706627,2.71,0.46,0.14,0.32
16:04:05.643985343,236454,4305144,1294627,626371,36640132,8002690,121523,3.701,3283118,1737538,35.94,10.99,2.46,12.20
16:04:07.975694796,98098,2273438,1357750,661762,34418812,7920887,118510,3.625,3268950,1752849,27.09,12.31,0.43,10.97
16:04:10.326930378,97399,2239269,1507377,762563,274368948,47154505,466684,2.584,18060047,8723622,59.57,3.98,0.50,5.60
16:04:12.674231137,95595,2189584,1312988,632032,35280480,8224454,120591,3.560,3387537,1831574,30.22,10.91,0.40,12.36
16:04:14.994449135,95952,2158213,1178608,564561,81874334,15309283,299607,4.108,7293060,3240849,27.79,10.39,0.40,11.87
16:04:17.315582883,110809,2506107,2083390,1051592,40934923,9424234,143775,3.731,3853295,2086080,31.07,10.62,0.38,10.04
16:04:19.623123250,96376,2190532,3542866,1464755,35445130,8127126,117661,3.522,3340786,1793906,28.88,10.58,0.32,7.55
16:04:22.164919525,92917,2141600,1405064,682855,35955197,7865654,121035,3.735,3240896,1705975,28.73,12.64,0.63,13.03
16:04:24.632822567,3192813,56000608,25613926,13117684,712404024,109301008,2527790,5.375,47029024,24435950,27.62,1.73,0.22,0.88
16:04:27.034138222,100920,2307121,1363721,660282,63505438,13157667,269974,4.327,6239142,2709041,31.43,11.61,0.54,12.72
16:04:29.384621863,95770,2143202,6384528,1995728,64506386,14890954,234987,3.642,6451560,3127402,25.05,12.37,0.23,12.96
16:04:31.712409791,99205,2196095,1369427,658319,36662772,8041017,119574,3.604,3317678,1763856,28.35,15.13,0.39,15.08
16:04:34.043169278,110069,2465057,1363461,659109,44571523,8671133,137413,3.822,3594863,1882456,26.56,10.61,0.75,7.45
16:04:36.389041919,95632,2197499,1385031,636167,407822264,68699527,686986,2.618,26245101,12674468,27.71,12.52,0.53,14.25
16:04:38.710868135,106200,2308187,1204424,581261,39736282,8915160,138893,3.774,3680140,1932852,60.50,3.37,0.23,5.45
16:04:41.064272399,121754,2632849,1240796,587371,41725092,8855929,140319,3.824,3669631,1934581,31.09,10.99,0.20,10.10
16:04:43.425405500,97023,2227143,1194991,573085,71695207,13466141,281193,4.384,6414036,2820643,7.35,3.51,0.63,3.27
16:04:46.104459465,2898615,44898054,24329343,12742511,35413872,9634116,117076,3.052,3835876,2340450,34.12,5.05,0.35,9.35
16:04:48.595041826,107154,2363510,1335482,638473,37945017,8936666,135074,3.682,3668821,1990593,72.93,1.98,0.21,1.98
16:04:50.923884213,115368,2520171,1156295,546763,40445496,9135401,137511,3.657,3760446,2011949,38.34,9.58,0.52,9.07
16:04:53.469565012,108943,2398831,1203592,560994,65762823,13098001,266282,4.278,6223841,2749813,30.58,9.44,0.23,13.89
16:04:55.801768974,108944,2425136,2973281,1285805,36948528,8500968,123256,3.542,3479844,1890671,35.47,11.12,0.65,13.23
16:04:58.140102508,245494,4512873,1329643,637162,35055795,8000672,118760,3.622,3278459,1760509,32.92,12.07,1.06,12.05
16:05:00.515106590,111730,2516152,1174269,569177,40786936,9050716,138584,3.710,3735066,2026386,33.03,5.11,0.72,10.25
16:05:02.865570807,111463,2459567,1198206,585196,39549800,8985439,137234,3.690,3719259,1966404,55.15,4.70,0.35,5.30
16:05:05.213229062,114556,2432444,1435583,631781,250270749,58914494,1182824,4.430,26701038,12647279,3.58,0.71,0.08,0.61
16:05:07.839727443,112860,2498293,2486486,1184805,38207449,8163214,121535,3.611,3365806,1799833,33.83,11.92,0.62,9.98
16:05:10.169776057,167800,3268407,1458952,707849,35734431,8140000,117178,3.515,3333545,1820977,31.44,10.35,1.36,10.77
16:05:12.505809906,98450,2225612,1333725,639062,36473915,8285728,123790,3.598,3440457,1843275,29.39,11.49,0.52,15.63
16:05:14.844159951,96150,2259418,1729636,761909,41399811,9584664,132343,3.302,4008488,2106821,38.07,3.65,0.96,8.05
16:05:17.196296439,99623,2281803,1342782,629610,35758283,8314587,119850,3.526,3399407,1830592,28.55,11.53,1.03,9.70
16:05:19.536723300,95806,2247659,10753144,2740563,38479150,8859555,141903,3.785,3749484,1943226,26.56,12.47,0.64,16.48
16:05:21.890293372,95607,2200230,1386665,674101,36830461,8418706,125263,3.593,3486700,1885413,29.80,12.17,0.56,9.12
16:05:27.202211397,3211567,61848466,38159367,16980718,1245446272,188534495,4156171,5.096,81559249,38297472,19.28,0.47,2.40,0.39
16:05:29.767132017,364057,10814147,1437739,653196,72250548,14030725,293011,4.425,6622145,2907728,33.20,11.09,0.43,9.19
16:05:32.117367697,112095,2507445,2153395,1065120,40363273,8515353,132849,3.742,3550099,1866522,34.00,11.30,0.41,12.68
