hora,cpu
17:59:24.687107350,3
17:59:25.768421161,2.1
17:59:26.827370721,4.8
17:59:27.942012265,48.3
17:59:29.053853459,52
17:59:30.118573920,48
17:59:31.190448932,42
17:59:32.273435274,19.8
17:59:33.343525801,3
17:59:34.394781724,3.3
17:59:35.477209756,1.8
17:59:36.560683232,5.1
17:59:37.626462696,4.2
17:59:38.705576336,3.9
17:59:39.786245949,2.1
17:59:40.854909295,3.6
17:59:41.939982904,4.2
17:59:43.020272128,4.5
17:59:44.092726450,3.3
17:59:45.175204061,3.6
17:59:46.272801964,3.6
17:59:47.378333487,2.4
17:59:48.462465010,56.2
17:59:49.527587875,58.4
17:59:50.583464364,60.1
17:59:51.710690785,54.6
17:59:52.834911858,56.7
17:59:53.978962506,15.2
17:59:55.060043477,6.9
17:59:56.115126471,4.5
17:59:57.188407978,7.1
17:59:58.301848159,5.1
17:59:59.391153779,6.9
18:00:00.497764767,3
18:00:01.588723508,2.4
18:00:02.672801066,3.9
18:00:03.746968441,4.2
18:00:04.832519953,6.3
18:00:05.933955458,2.1
18:00:07.005739558,3
18:00:08.085903997,2.7
18:00:09.169149744,25.3
18:00:10.221360269,36.8
18:00:11.332971239,48.2
18:00:12.412197489,51.6
18:00:13.523203319,52.9
18:00:14.617732938,10.2
18:00:15.700220317,1.8
18:00:16.777123099,5.1
18:00:17.863486914,2.1
18:00:18.951789573,2.7
18:00:20.013335515,2.4
18:00:21.121878064,3.9
18:00:22.205189233,6.3
18:00:23.317289721,3.9
18:00:24.367513065,2.4
18:00:25.448732270,2.4
18:00:26.529050591,2.1
18:00:27.595819990,2.7
18:00:28.679912246,2.4
18:00:29.763240080,10.3
18:00:30.835367671,45.2
18:00:31.897761240,50.3
18:00:32.952238833,56
18:00:34.036885860,50.3
18:00:35.142707613,11.3
18:00:36.227959936,3
18:00:37.331221839,3.9
18:00:38.395921001,2.7
18:00:39.475134331,3.6
18:00:40.553798816,1.8
18:00:41.621118061,3.6
18:00:42.703795131,4.5
18:00:43.788548807,3.9
18:00:44.848113572,1.5
18:00:45.930590114,2.7
18:00:47.014537317,3
18:00:48.078015307,1.8
18:00:49.159402871,3
18:00:50.240679303,3.6
18:00:51.349949971,56
18:00:52.441125471,57.2
18:00:53.510375338,45.8
18:00:54.641697533,53
18:00:55.813910997,47.9
18:00:56.959635174,12.2
18:00:58.015738894,9.9
18:00:59.082273806,3.9
18:01:00.168216065,6.6
18:01:01.254430116,13.6
18:01:02.339665838,9.5
18:01:03.408326837,3.6
18:01:04.488392111,2.7
18:01:05.545773784,1.8
18:01:06.625938991,1.5
18:01:07.712078874,4.5
18:01:08.776884758,3
18:01:09.857777318,2.7
18:01:10.942147336,4.5
18:01:12.008899081,14.3
18:01:13.098734043,42.7
18:01:14.248842263,46.4
18:01:15.347737838,43.6
18:01:16.440931850,51.5
18:01:17.504924899,7.7
18:01:18.563099093,2.7
18:01:19.645615010,5.7
18:01:20.747806652,3.6
18:01:21.850163573,3
18:01:22.934160030,5.1
18:01:24.004912336,3
18:01:25.084679871,2.4
18:01:26.142111481,2.1
18:01:27.223465791,2.7
18:01:28.308871054,2.7
18:01:29.369137862,3.6
18:01:30.457293405,1.5
18:01:31.541465325,3.3
18:01:32.604013885,12.7
18:01:33.710654493,47
18:01:34.781357876,54.9
18:01:35.868202299,30
18:01:36.983410511,46.9
18:01:38.144097233,25.4
18:01:39.260895806,3
18:01:40.340276986,2.7
18:01:41.422842806,3.3
18:01:42.481342014,3.6
18:01:43.562698069,5.1
18:01:44.671613469,3.6
18:01:45.752751122,4.5
18:01:46.828812591,5.1
18:01:47.910289559,5.1
18:01:49.014215291,2.7
18:01:50.074773311,3
18:01:51.163608494,5.1
18:01:52.271283023,6.6
18:01:53.353321815,31.9
18:01:54.432995236,52.6
18:01:55.586016787,47.5
18:01:56.783973020,52.3
18:01:57.949542398,64.6
18:01:59.125915086,21.8
18:02:00.253515064,6.2
18:02:01.351775675,6.3
18:02:02.437772684,8.1
18:02:03.530536662,5.1
18:02:04.592197144,5.1
