hora,e_core,e_ram,cpu,mem_used
05:05:47.501756139,0.37,0.31,0,2384360
05:05:48.821562902,0.50,0.32,0,2379592
05:05:50.151804777,0.38,0.31,1,2375684
05:05:51.482775973,0.44,0.32,1,2371904
05:05:52.807327841,0.44,0.32,2,2370228
05:05:54.131828171,0.28,0.31,0,2367552
05:05:55.450911027,0.09,0.29,0,2363668
05:05:56.798214119,0.28,0.31,0,2362996
05:05:58.134476718,0.10,0.29,0,2362472
05:05:59.493799126,0.09,0.29,0,2361540
05:06:00.839843602,0.11,0.30,0,2361028
05:06:02.184651602,0.09,0.29,0,2360748
05:06:03.535667768,0.09,0.29,1,2361672
05:06:04.886447092,0.11,0.30,0,2359364
05:06:06.240899235,0.11,0.29,1,2358680
05:06:07.589356310,0.15,0.34,0,2357624
05:06:08.938835092,0.26,0.33,3,2356172
05:06:10.287454810,0.14,0.31,3,2355244
05:06:11.639999424,0.13,0.30,3,2354328
05:06:12.987434541,0.16,0.31,2,2353216
05:06:14.336001555,0.12,0.31,2,2348308
05:06:15.686743869,0.15,0.31,0,2346836
05:06:17.038910972,0.08,0.30,0,2347848
05:06:18.391688295,0.08,0.29,1,2347200
05:06:19.734394461,0.10,0.29,0,2347632
05:06:21.086159881,0.10,0.29,0,2347336
05:06:22.431299014,0.10,0.29,2,2347156
05:06:23.777703512,0.11,0.29,0,2343480
05:06:25.131177263,0.15,0.30,0,2337204
05:06:26.474030543,0.10,0.29,1,2336900
05:06:27.836167724,0.18,0.32,3,2342136
05:06:29.190417207,0.18,0.33,2,2341300
05:06:30.536471730,0.17,0.33,4,2339544
05:06:31.881849561,0.17,0.34,1,2338208
05:06:33.229892603,0.24,0.33,1,2337100
05:06:34.578572595,0.15,0.32,2,2333432
05:06:35.916833149,0.12,0.33,2,2332200
05:06:37.271434710,0.13,0.30,0,2331636
05:06:38.614523420,0.08,0.30,0,2331868
05:06:39.963596782,0.06,0.29,0,2331752
05:06:41.314463949,0.13,0.29,0,2331556
05:06:42.666915275,0.10,0.29,0,2331368
05:06:44.013777281,0.08,0.29,0,2331328
05:06:45.363361163,0.08,0.29,0,2327864
05:06:46.718618874,0.10,0.29,0,2327880
05:06:48.071859125,0.06,0.30,0,2327072
05:06:49.409250291,0.45,0.31,0,2322712
05:06:50.729582610,0.48,0.31,1,2318692
05:06:52.047134437,0.44,0.32,1,2314312
05:06:53.374787261,0.37,0.31,2,2310812
05:06:54.701956693,0.91,0.32,0,2304312
05:06:56.029176155,0.74,0.31,2,2299744
05:06:57.353298276,0.26,0.31,1,2296140
05:06:58.677279484,0.42,0.32,0,2293832
05:07:00.005214701,0.19,0.30,0,2295680
05:07:01.331694946,0.11,0.29,1,2295900
05:07:02.686708568,0.16,0.30,0,2295552
05:07:04.026684924,0.07,0.29,0,2295040
05:07:05.376970714,0.12,0.29,0,2291452
05:07:06.730614920,0.08,0.29,0,2290896
05:07:08.076324816,0.07,0.29,0,2290476
05:07:09.443801554,0.09,0.29,0,2289760
05:07:10.801875212,0.21,0.30,2,2289408
05:07:12.157815582,0.17,0.32,1,2289220
05:07:13.503602933,0.21,0.30,3,2288204
05:07:14.845415230,0.15,0.31,1,2284412
05:07:16.184370081,0.19,0.31,3,2283764
05:07:17.540396785,0.18,0.32,1,2282316
05:07:18.887960045,0.13,0.32,1,2281992
05:07:20.228316113,0.12,0.32,0,2280812
05:07:21.579623057,0.14,0.30,0,2280232
05:07:22.926006276,0.10,0.30,0,2279628
05:07:24.267918438,0.09,0.29,0,2276604
05:07:25.628548182,0.12,0.29,0,2276340
05:07:26.985911963,0.13,0.29,0,2275536
05:07:28.323661391,0.06,0.30,0,2274528
05:07:29.679717265,0.07,0.29,1,2276856
05:07:31.024657281,0.11,0.30,0,2276280
05:07:32.372040737,0.11,0.29,2,2276344
05:07:33.720719289,0.15,0.31,2,2274980
05:07:35.067331567,0.27,0.33,1,2268952
05:07:36.409701590,0.16,0.34,0,2267956
05:07:37.764158405,0.16,0.33,0,2268444
05:07:39.104961430,0.16,0.32,1,2267248
05:07:40.460770657,0.15,0.30,1,2266704
05:07:41.814978741,0.21,0.31,0,2265468
05:07:43.163985348,0.11,0.31,0,2264752
05:07:44.506151081,0.12,0.29,1,2261512
05:07:45.860131822,0.14,0.29,0,2260968
05:07:47.205202860,0.09,0.30,0,2260936
05:07:48.562330662,0.14,0.29,0,2261084
05:07:49.910617659,0.20,0.29,0,2261004
05:07:51.256022386,0.10,0.29,0,2260856
05:07:52.615799787,0.10,0.29,0,2260236
05:07:53.967809778,0.10,0.29,0,2260792
05:07:55.319858367,0.60,0.33,3,2246276
05:07:56.634650485,0.36,0.33,1,2242176
05:07:57.964073293,0.44,0.32,2,2242940
05:07:59.288490001,0.58,0.32,1,2239436
05:08:00.610148580,0.35,0.32,2,2235732
05:08:01.939810022,0.44,0.31,1,2232088
05:08:03.266111070,0.34,0.31,2,2228476
05:08:04.601461789,0.32,0.32,0,2223440
05:08:05.925271700,0.14,0.29,0,2221812
05:08:07.262701431,0.11,0.30,0,2221208
05:08:08.600671535,0.08,0.29,0,2221004
05:08:09.955916878,0.08,0.29,1,2220740
05:08:11.304428827,0.12,0.30,0,2221016
05:08:12.655779664,0.11,0.29,1,2219936
05:08:14.007780962,0.13,0.29,0,2220012
05:08:15.346771027,0.13,0.29,0,2217604
05:08:16.684232141,0.18,0.31,3,2216080
05:08:18.030131719,0.20,0.34,2,2215356
05:08:19.384702599,0.16,0.32,0,2214044
05:08:20.728923328,0.14,0.31,2,2213156
05:08:22.079571321,0.12,0.30,0,2210952
05:08:23.417766108,0.18,0.31,2,2209076
05:08:24.766040723,0.18,0.30,3,2204616
05:08:26.112468887,0.13,0.32,0,2206056
05:08:27.452633159,0.08,0.29,0,2206044
05:08:28.806177754,0.10,0.29,1,2205344
05:08:30.155347622,0.14,0.29,0,2205456
05:08:31.497204084,0.15,0.29,0,2205596
05:08:32.851988936,0.10,0.29,1,2205080
05:08:34.199817062,0.13,0.29,0,2202476
05:08:35.545201311,0.12,0.29,0,2202136
05:08:36.899457340,0.09,0.29,0,2201204
05:08:38.252922536,0.22,0.33,3,2200772
05:08:39.598450254,0.19,0.34,1,2199304
05:08:40.948010468,0.14,0.34,2,2198488
05:08:42.293062279,0.14,0.32,1,2198116
05:08:43.641938293,0.18,0.31,0,2195788
05:08:44.990839519,0.18,0.32,1,2192400
05:08:46.338416706,0.17,0.34,1,2191424
05:08:47.681295121,0.10,0.31,0,2190508
05:08:49.034275368,0.08,0.29,0,2190080
05:08:50.385235884,0.09,0.29,1,2190080
05:08:51.738674732,0.07,0.29,0,2190012
05:08:53.087767701,0.14,0.29,0,2189360
05:08:54.433915041,0.14,0.29,0,2186832
05:08:55.777574240,0.09,0.29,0,2186088
05:08:57.126637981,0.08,0.29,0,2185936
05:08:58.473482588,0.11,0.29,0,2186408
05:08:59.815861928,0.14,0.29,1,2185448
05:09:01.156372948,0.55,0.32,1,2181132
05:09:02.478617589,0.35,0.31,0,2176884
05:09:03.799777922,0.43,0.31,0,2172512
05:09:05.134512338,0.45,0.32,2,2164792
05:09:06.468795264,0.60,0.31,0,2161984
05:09:07.791144344,0.47,0.32,1,2158780
05:09:09.120702459,0.32,0.32,1,2154284
05:09:10.446469547,0.27,0.30,0,2153936
05:09:11.787637965,0.14,0.30,0,2152908
05:09:13.126160257,0.11,0.30,0,2152348
05:09:14.478705528,0.13,0.29,1,2149916
05:09:15.818188035,0.07,0.29,0,2149184
05:09:17.170483170,0.13,0.29,0,2149176
05:09:18.520028052,0.09,0.29,0,2149956
05:09:19.858208095,0.09,0.29,0,2149048
05:09:21.207576919,0.08,0.30,1,2148480
05:09:22.558252518,0.20,0.31,1,2147252
05:09:23.899639246,0.15,0.30,0,2146552
05:09:25.249616786,0.19,0.33,1,2142124
05:09:26.606057963,0.17,0.32,1,2141516
05:09:27.955759876,0.18,0.32,2,2140096
05:09:29.309193515,0.21,0.32,1,2139160
05:09:30.667411865,0.11,0.32,0,2138084
05:09:32.019539493,0.17,0.30,0,2137936
05:09:33.367184443,0.08,0.30,0,2137356
05:09:34.720062586,0.14,0.29,0,2134520
05:09:36.063386977,0.07,0.29,0,2134120
05:09:37.419643759,0.08,0.30,0,2134068
05:09:38.772767849,0.09,0.29,0,2134536
05:09:40.126278844,0.10,0.29,0,2133348
05:09:41.473093540,0.07,0.30,0,2133648
05:09:42.826251116,0.15,0.30,2,2132172
05:09:44.168574121,0.51,0.31,1,2127588
05:09:45.516112063,0.17,0.32,0,2126184
05:09:46.869387350,0.22,0.33,1,2124848
05:09:48.212744322,0.22,0.33,1,2124256
05:09:49.559744672,0.20,0.33,1,2122644
05:09:50.920675597,0.18,0.31,2,2122460
05:09:52.268193285,0.14,0.32,0,2121296
05:09:53.614978346,0.10,0.30,0,2120124
05:09:54.967499453,0.34,0.29,1,2117304
05:09:56.314520544,0.08,0.29,0,2116748
05:09:57.667567497,0.19,0.29,0,2116840
05:09:59.021338463,0.12,0.29,0,2117212
05:10:00.368453193,0.07,0.29,0,2116300
05:10:01.722587320,0.08,0.29,0,2116928
05:10:03.075817256,0.08,0.30,0,2117776
05:10:04.425345814,0.31,0.32,0,2111328
05:10:05.754298913,0.38,0.32,1,2108072
05:10:07.088732250,0.47,0.32,1,2102976
05:10:08.414239553,0.33,0.31,0,2098784
05:10:09.744696662,0.36,0.31,0,2095336
05:10:11.076867923,0.47,0.31,1,2093120
