horaEjecucion,cpu,mem_used
09:24:07.517443196,1.4,840760
09:24:09.075502504,1,840792
09:24:10.612515719,1.4,841260
09:24:12.113966974,1.3,841004
09:24:13.625877032,1.4,841112
09:24:15.124068719,21.4,835828
09:24:16.613824146,20.9,834716
09:24:18.091941350,16.7,834296
09:24:19.546929136,17.1,835672
09:24:21.054398589,15.3,836804
09:24:22.594428193,3.1,840028
09:24:24.136468204,1.4,840592
09:24:25.678432068,1,840436
09:24:27.238648082,1,840444
09:24:28.740090792,1,840512
09:24:30.205806336,1,840676
09:24:31.718009358,1,840528
09:24:33.248531091,1,840404
09:24:34.751090305,0.7,840452
09:24:36.264995245,22.4,836192
09:24:37.791411632,22.2,833884
09:24:39.271962362,18.6,834892
09:24:40.778115672,17.6,834216
09:24:42.296414235,17.4,837084
09:24:43.816346956,7.5,839856
09:24:45.335119578,3.4,840120
09:24:46.846006718,2.1,840244
09:24:48.372484093,1.7,840064
09:24:49.913588479,2,839988
09:24:51.393642751,3.1,840244
09:24:52.856984917,2.4,840048
09:24:54.376563315,2.4,840088
09:24:55.882577666,2.8,839864
09:24:57.378166912,24.6,833632
09:24:58.886381824,15.6,834060
09:25:00.422331181,15.7,835100
09:25:01.917450845,16.1,833920
09:25:03.369928220,15,836824
09:25:04.863052946,2.4,838928
09:25:06.376734548,1,839436
09:25:07.885742945,1.7,839652
09:25:09.398599134,1,839396
09:25:10.953492094,0.6,839684
09:25:12.494304967,1.4,839980
09:25:14.007190114,1,839724
09:25:15.527056007,0.6,839576
09:25:17.080950168,5.5,833564
09:25:18.663538614,17.3,834076
09:25:20.177756775,18.4,834552
09:25:21.657406669,22.3,833436
09:25:23.195457002,10,833864
09:25:24.692092488,10.2,837092
09:25:26.171279103,4.2,838892
09:25:27.623779391,1.4,839100
09:25:29.137106617,1,839388
09:25:30.638669526,1,839480
09:25:32.150601602,1.3,839464
09:25:33.647121566,1,839388
09:25:35.156200010,1,839340
09:25:36.652391695,0.6,839380
09:25:38.174862155,23,834460
09:25:39.674893925,19.2,832376
09:25:41.188952655,26.6,833832
09:25:42.634193603,16.9,831940
09:25:44.133376261,13.6,835684
09:25:45.623151778,3.1,838112
09:25:47.119369607,2.8,838684
09:25:48.570810836,3.1,838800
09:25:50.085424927,2.7,838948
09:25:51.621737452,2.1,838860
09:25:53.095894348,2.4,838652
09:25:54.612753115,2.4,838604
09:25:56.150395945,2.4,838624
09:25:57.665018629,2.8,839144
09:25:59.177833040,3.4,838956
09:26:00.683383477,2,838940
09:26:02.199803183,1,838908
09:26:03.759568767,1,838848
09:26:05.293475468,1.3,838536
09:26:06.795238840,1,838908
09:26:08.257869020,8.1,858464
09:26:09.674463700,1,858532
09:26:11.156478315,1,858588
09:26:12.607730270,1,858556
09:26:14.118698647,1.3,858464
09:26:15.614823504,1,858624
09:26:17.123892306,1.4,858688
09:26:18.617591341,1,858332
09:26:20.130398094,1.3,858208
09:26:21.688976806,1,858424
09:26:23.241590912,1,858632
09:26:24.733513288,1,858680
09:26:26.195406283,1,858856
