horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:34:10.844105465,0.25,106528,6021510,5428203,562125,26980431,12478923,96206,1.694,5680445,1503451,6.56
12:34:13.690716148,0.25,877013,27577138,9478690,1528898,58757666,17724008,276829,3.338,8293744,2131797,3.16
12:34:16.275070284,0.25,288711,10614186,11630664,1878606,88461125,29129429,446291,3.228,13826608,3414588,9.17
12:34:18.867845096,0.25,109429,6007590,5401271,547089,29199132,12947040,119024,1.989,5984401,1552939,9.12
12:34:21.338560111,0.25,87585,5351658,5463529,573800,30363826,12804057,115874,1.956,5924886,1544523,4.57
12:34:23.715166979,0.25,109897,6042154,5812619,632979,27516594,11834358,95552,1.741,5489613,1438860,6.83
12:34:26.142178095,0.25,103721,5646800,7793128,1140324,27603640,12028433,98388,1.789,5499566,1453326,7.66
12:34:28.468911550,0.25,317013,10316966,5830713,650653,27480946,12201677,93756,1.660,5647637,1482701,7.88
12:34:30.785136361,0.25,97143,5753573,7877106,976148,28045736,12377090,101365,1.790,5664003,1496714,7.77
12:34:33.170562758,0.25,3656802,95834300,81741504,16002722,50859741,19632576,184387,1.947,9469044,2459387,4.54
12:34:35.747224167,0.25,95564,5558551,5577601,591388,28033346,12534397,107311,1.830,5862702,1505937,7.36
12:34:38.185215454,0.25,92707,5498848,5756655,619066,29980134,12925458,110779,1.850,5988875,1555906,7.11
12:34:40.530473285,0.25,101502,5424672,5710236,611583,34099835,13783148,135412,2.139,6329591,1655503,8.03
12:34:42.920208176,0.25,99376,5504707,5309338,529816,30857374,12712624,121170,2.068,5859850,1526860,8.19
12:34:45.270106365,0.25,84220,5236793,5911627,664660,29680954,12576622,109901,1.895,5799284,1513070,7.41
12:34:47.609513368,0.25,122030,5921870,5856418,630446,25671537,11252144,88485,1.692,5231063,1366536,3.94
12:34:49.926587219,0.25,387011,17718597,5496266,568696,28274265,12052260,107989,1.946,5550702,1451887,7.53
12:34:52.322555901,0.25,98052,5381672,5865158,655432,95373514,34906345,627747,3.666,17122917,3659406,0.58
12:34:55.148250424,0.25,94397,5456472,5899248,648563,31086357,12623083,117767,2.010,5859769,1516135,8.34
12:34:57.444870431,0.25,102687,5566485,5732916,607636,29785445,12317894,109639,1.908,5745393,1490495,7.95
12:34:59.828372809,0.25,225864,11676997,5353595,540937,28362603,11842577,103296,1.888,5470609,1430309,4.77
12:35:02.221364714,0.25,107023,5733413,5837994,651348,58115935,19491754,278022,3.080,9027930,2362749,7.67
12:35:04.533067971,0.25,116509,5847691,8028875,1153177,27244022,11696637,95836,1.765,5431265,1417893,7.35
12:35:06.869658144,0.25,259190,7846580,5659315,598384,30918679,12851859,116459,1.972,5906580,1541877,8.10
12:35:09.298476383,0.25,99121,5513092,5607779,627834,74994449,40078197,328745,1.972,16672625,4804994,7.55
12:35:11.783136895,0.25,96299,5464319,5800340,647316,29267832,12622422,112941,1.944,5810569,1522801,4.44
12:35:14.705334005,0.25,262589,9836634,7705112,1118356,56975779,17602019,227674,2.750,8279321,2094230,3.11
12:35:17.245698679,0.25,165539,7459510,5532429,581142,27445016,11953906,109554,1.981,5530650,1437784,7.14
12:35:19.609472171,0.25,118741,5868589,17468957,1982385,25878070,11367363,87000,1.651,5268107,1384276,6.87
12:35:21.979004791,0.25,118697,5961461,5595544,588974,28242970,11882578,100838,1.847,5458121,1431270,8.31
12:35:24.364646824,0.25,88413,5229631,5631899,598503,55694390,17661654,274266,3.276,8372684,2112574,7.31
12:35:26.674562346,0.25,100526,5531832,7718891,1087183,28980234,12400227,108725,1.884,5771536,1498333,8.08
12:35:28.999404801,0.25,193628,6876710,5594590,595211,29554230,12602697,112567,1.937,5810087,1519087,6.85
12:35:31.383595710,0.25,102418,5642033,5469376,565258,28122123,12016444,101362,1.831,5535504,1461950,7.21
12:35:33.771691637,0.25,3568918,92183236,82712270,16209016,61869776,22275718,235475,2.186,10771548,2743619,4.35
12:35:36.321443777,0.25,110711,5983598,5987074,675918,26626524,12058015,101094,1.823,5545895,1457606,7.58
12:35:38.870666968,0.25,113222,5863483,7634464,1083779,28967911,12901555,119510,2.006,5957493,1547855,6.64
12:35:41.265039710,0.25,260594,7969330,5839176,650934,28434342,12150496,100606,1.813,5549381,1471467,6.90
12:35:43.598956412,0.25,119667,5864398,5509764,571166,27363905,11655305,95035,1.774,5357877,1421283,7.88
12:35:45.951238006,0.25,96182,5414957,6048963,646923,29973036,12419680,116011,2.006,5783224,1486834,4.50
12:35:48.262453630,0.25,112551,5921737,5614376,596341,29009977,12765445,105917,1.800,5885225,1545556,7.34
12:35:50.557750268,0.25,121268,6071944,5969807,653409,44804389,15794547,246665,3.268,7546813,1880146,8.06
12:35:52.883567920,0.25,112712,5870728,8020864,1169915,28490602,12380590,102902,1.814,5673501,1495217,0.52
12:35:55.558072060,0.25,114013,5834179,5471331,556982,30514641,12645659,108045,1.852,5835142,1546108,7.20
12:35:57.922905201,0.25,97900,5482506,5690126,629271,26774142,12181358,98836,1.777,5563130,1478247,5.25
12:36:00.275402576,0.25,113599,5742521,5812891,643872,39885561,16967177,195164,2.552,7648917,2012254,7.21
12:36:02.752270923,0.25,94223,5446792,5363517,567869,49781278,16359435,241984,3.165,7645832,1973261,7.98
12:36:05.193920278,0.25,92421,5331173,7585594,1085318,27620050,11823035,96156,1.787,5380669,1437834,7.86
12:36:07.513771812,0.25,254307,7764805,5785866,625105,27095898,11765885,91381,1.694,5394909,1436363,9.04
12:36:09.842813319,0.25,200815,10837664,5247152,531333,30705314,12515401,115426,1.992,5794499,1504754,7.71
12:36:12.293776357,0.25,113601,6044971,5533497,598873,27619632,11973398,98525,1.783,5525216,1455003,6.96
12:36:14.925485384,0.25,3469736,89273786,34122544,6659401,86446185,24924290,351991,3.037,11589291,2988968,2.96
12:36:17.859267782,0.25,108576,5672605,5486071,591475,29309930,12185145,107681,1.926,5591868,1472379,7.09
12:36:20.338041393,0.25,84774,5223384,5695707,611059,43900948,16971940,187558,2.459,7627604,2016501,6.71
12:36:22.740526103,0.25,93762,5336563,5589257,590456,44608378,16542664,251007,3.225,7782841,1976390,8.16
12:36:25.148514956,0.25,97224,5620617,7611619,1064322,29642638,12379854,113563,1.979,5739829,1485548,7.05
12:36:27.539400782,0.25,277861,8446656,5772898,617318,27714715,11718200,94295,1.735,5436353,1427370,8.44
12:36:29.903143514,0.25,371775,17407430,5561930,566056,30120660,12743598,111762,1.884,5930663,1539230,7.12
12:36:32.310077567,0.25,93795,5503781,5728750,614747,28018264,12884138,108988,1.833,5946867,1551569,3.56
12:36:34.764397927,0.25,3537541,93421097,78402118,15672720,58749277,18709994,288920,3.227,8952202,2263113,7.96
12:36:37.324090023,0.25,108040,5798542,8284513,1185318,28280771,12395879,107255,1.881,5702619,1493146,7.90
12:36:39.683265782,0.25,261447,7813134,19353041,2009523,26858263,11599553,90964,1.697,5358791,1412098,4.71
12:36:42.030721482,0.25,91528,5438558,5378078,532623,30156523,12708209,112828,1.926,5857268,1537132,8.25
12:36:44.388486422,0.25,91754,5346330,5855742,667003,28369272,11900731,106242,1.907,5572039,1437814,4.56
12:36:46.712125080,0.25,105679,5509139,5587197,602315,29386293,12408259,108233,1.887,5735922,1499021,7.61
12:36:49.080571771,0.25,104571,5582438,5337335,528108,53062925,16792441,255981,3.239,7903540,2013823,7.57
12:36:51.402621806,0.25,100913,6030676,8269821,1167050,30480664,13327556,104992,1.706,6155339,1619822,7.99
12:36:53.812360660,0.25,244995,7866814,5646898,594776,67201429,24996451,404964,3.341,12121755,2678643,0.41
12:36:56.625492040,0.25,106282,5520334,5721586,608243,27430709,11673747,92314,1.708,5404366,1415002,6.81
