horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
12:50:07.465205461,95526,5987065,5683937,565637,29362686,12496265,85870,1.485,5782309,1522229,18.35,6.93,0.55,5.50
12:50:09.721878322,81676,5806545,5745830,553878,28554432,12453894,86415,1.511,5718984,1530118,14.95,8.47,0.39,3.93
12:50:11.932165941,81642,5704828,5870521,561509,55015436,17537331,240251,2.938,8177970,2106662,18.90,8.08,0.17,4.19
12:50:14.153536370,87126,5887008,5951068,574773,352010925,81118998,1516027,3.861,39263437,9095872,54.52,3.01,2.05,1.43
12:50:16.877096892,342334,17422733,5857893,584522,32273588,13406429,102668,1.655,6202055,1627356,21.33,6.77,0.56,6.17
12:50:19.098620339,95259,6084153,5929345,574024,32812279,13387288,100030,1.606,6227937,1635594,20.59,8.79,0,3.72
12:50:21.302333092,97213,6574443,6170357,646427,28360456,12386458,76149,1.332,5717839,1524094,19.19,6.00,0.49,5.31
12:50:23.573097599,95939,6013956,5685542,544277,30211391,12894281,91069,1.523,5981360,1573567,15.89,7.69,0.54,6.31
12:50:25.811431743,82253,5781959,5849527,607639,29831857,12719105,87872,1.499,5860523,1552211,11.86,5.62,0.19,3.66
12:50:28.101665633,96314,6131928,8083274,945322,50761900,18315154,254777,2.977,8556751,2215755,21.67,7.88,0.24,5.86
12:50:30.315344637,91252,5760900,8121755,1132829,29471077,12614353,87653,1.501,5840866,1545343,22.44,7.96,1.19,4.29
12:50:32.486611504,95873,5995747,7879027,1058848,30348761,12878590,89924,1.517,5926471,1571214,19.21,7.58,0.65,4.70
12:50:34.721352278,2611557,65246108,6483972,651644,30751311,13202609,89691,1.478,6068508,1615088,21.32,7.39,0.45,4.71
12:50:36.980960586,86073,5822531,5960354,601532,31792299,13136285,98352,1.624,6057985,1599439,17.77,7.47,0.61,4.42
12:50:39.275044714,89212,5830048,5906515,586255,30273542,13002818,89932,1.508,5965164,1591674,24.45,6.60,0.37,5.01
12:50:41.610204474,93816,6049708,5760599,608721,26221866,11975279,83868,1.504,5577494,1462590,54.76,4.10,0,2.76
12:50:43.909912740,84789,5866117,5936545,592240,31588268,12967101,99902,1.640,6091189,1567299,21.20,8.01,0.51,4.71
12:50:46.109641287,89073,5905549,6039690,615745,108436184,46858696,500383,2.534,19748274,5601495,20.32,8.15,0.38,4.79
12:50:48.287444733,83983,5868921,5919030,599331,53309040,16942715,234114,2.936,7975204,2042636,19.23,5.22,0,4.33
12:50:50.597060136,99435,6092307,7696810,1084280,29968270,12776999,92646,1.565,5920694,1557370,16.82,6.45,0,5.06
12:50:52.882069410,235066,8320646,6166072,620036,28352034,12466537,84076,1.452,5790424,1512022,21.09,7.88,2.30,4.70
12:50:55.161159024,88457,5956854,5857865,569434,29497258,12679714,89265,1.497,5964113,1543752,16.11,6.78,0.67,4.96
12:50:57.467660379,83902,5842624,5804654,570885,30687632,13213114,94629,1.552,6097199,1605672,24.57,7.50,0.40,4.44
12:50:59.764207302,90544,5933441,6036215,605987,29512250,12592772,85165,1.467,5806885,1535798,49.44,3.77,0.60,2.41
12:51:02.020880058,83933,5743646,5945968,593181,30226512,12822339,93630,1.583,5914787,1565655,24.14,7.56,0,4.58
12:51:04.213766428,86828,5860365,5846815,562489,30060712,12855677,87044,1.464,5947106,1569841,17.81,8.39,0.91,4.77
12:51:06.426744848,86106,5818778,17226055,1857766,57793893,18016674,250876,2.964,8463539,2165533,19.78,6.60,2.06,6.22
12:51:08.650823632,85946,5897378,8275326,1118178,30994914,13263847,93690,1.532,6115096,1612845,18.37,7.24,0.97,5.11
12:51:10.861479490,83963,5770563,10066997,1243749,31030290,13185517,91417,1.498,6104282,1599932,22.43,7.78,0.34,4.31
12:51:13.029921021,255053,8775993,6024901,607347,29670261,12605060,87328,1.485,5878946,1534178,27.46,6.68,3.43,4.76
12:51:15.283265602,122913,6547494,10944469,1746651,85151215,25436559,364828,3.025,12060528,3099850,23.42,7.93,1.06,4.32
12:51:17.605781210,96799,6038377,5733743,549495,28491645,12490034,87258,1.514,5764622,1518816,16.74,8.57,0.82,4.63
12:51:19.892205854,83341,5859487,6144909,630784,31006780,13011479,92940,1.534,6060424,1572860,51.54,3.90,0.21,2.88
12:51:22.147084309,106395,6637560,5833468,602915,28500826,12429487,79038,1.380,5725732,1517934,20.65,7.90,0,4.69
12:51:24.430896079,89960,5964833,5997685,614435,58193703,21757365,288684,2.862,10088532,2657153,23.68,7.45,0.89,4.28
12:51:26.658324985,275053,14652490,5798973,551932,29934837,12872942,87220,1.469,5935426,1569586,14.72,7.61,0.55,4.19
12:51:28.881187546,87158,5966975,8111499,1100202,29610147,12517294,85266,1.458,5847741,1515587,20.36,7.64,0.67,6.05
12:51:31.106688420,237341,8218757,5874455,579358,29282044,12469503,84862,1.464,5797613,1520092,18.80,7.41,1.04,4.50
12:51:33.311005305,234899,8122607,5921521,589337,28716523,12438318,78528,1.367,5744637,1526501,18.72,7.25,0,5.30
12:51:35.640261592,92870,6016648,5716359,553909,30473316,12821761,91548,1.555,5885992,1567844,69.27,3.14,0.41,1.86
12:51:37.857665596,82884,5703204,6184016,645428,49372148,18371326,188663,2.273,8298588,2194799,23.48,7.64,0,3.85
12:51:40.134434568,100062,6195937,5998549,609265,28673774,12283343,82399,1.439,5724657,1499714,51.94,4.61,0.45,2.04
